Title,Address,Price($),Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url,rentcast_id,last_seen_date,status
"Standard - , ,  ",", ,  ",3850,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"40-E-12th-St,-Apt-4A,-New-York,-NY-10003",2025-11-06T04:17:55.778Z,Active
"Standard - , ,  ",", ,  ",3450,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,700,No,No,None,No,,,,0,,"332-E-71st-St,-New-York,-NY-10021",2025-11-06T04:17:55.777Z,Active
"Standard - , ,  ",", ,  ",9995,2025-11-06T00:00:00.000Z,Apartment,4,2,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"939-2nd-Ave,-Apt-3,-New-York,-NY-10022",2025-11-06T04:17:55.775Z,Active
"Standard - , ,  ",", ,  ",3995,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"51-Leroy-St,-Apt-5D,-New-York,-NY-10014",2025-11-06T04:17:55.774Z,Active
"Standard - , ,  ",", ,  ",9500,2025-11-06T00:00:00.000Z,Apartment,4,2,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"93-Ave-B,-Apt-4R,-New-York,-NY-10009",2025-11-06T04:17:55.772Z,Active
"Standard - , ,  ",", ,  ",2500,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,550,No,No,None,No,,,,0,,"225-E-10th-St,-New-York,-NY-10003",2025-11-06T04:17:55.771Z,Active
"Standard - , ,  ",", ,  ",1790,2025-11-06T00:00:00.000Z,Condo,1,1,Not Specified,Not Specified,No,,,No,689,No,No,None,No,,,,0,,"159-W-118th-St,-Apt-4D,-New-York,-NY-10026",2025-11-06T04:17:55.771Z,Active
"Standard - , ,  ",", ,  ",3700,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,800,No,No,None,No,,,,0,,"405-E-56th-St,-New-York,-NY-10022",2025-11-06T04:17:55.770Z,Active
"Standard - , ,  ",", ,  ",5495,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,700,No,No,None,No,,,,0,,"51-Leroy-St,-New-York,-NY-10014",2025-11-06T04:17:55.769Z,Active
"Standard - , ,  ",", ,  ",7395,2025-11-06T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"410-W-53rd-St,-Apt-528,-New-York,-NY-10019",2025-11-06T04:17:55.768Z,Active
